epoch,loss_1,loss_2,loss_3,loss_4,loss_5
1,0.7019,0.6990,0.6993,0.7021,0.6956
2,0.8103,0.7994,0.8009,0.8111,0.7792
3,0.6749,0.6976,0.8542,0.6833,0.8226
4,0.9957,1.0219,1.0020,0.8019,0.5296
5,0.4916,0.7123,0.6502,0.3610,0.3494
6,0.8393,1.0433,0.7967,0.7887,0.7935
7,0.5109,0.5668,0.8595,0.7017,0.3005
8,0.6929,0.8900,0.5154,0.4716,0.8472
9,0.5245,0.7449,0.5938,1.2783,0.3528
10,0.9303,0.5485,0.7469,0.8533,0.5762
11,0.6199,0.4311,1.5402,0.9689,0.7251
12,1.1526,0.6157,0.7518,0.7905,0.5338
13,0.4178,0.3975,0.5489,0.3967,0.3486
14,0.8643,0.4053,0.6144,0.6997,0.5367
15,0.7915,0.3163,0.2586,0.6027,0.7971
16,0.4099,0.4407,0.7325,0.8072,0.8726
17,0.9131,0.5520,1.3030,1.0109,1.1691
18,0.6134,0.9683,0.9118,1.2693,0.8032
19,0.5921,0.3899,0.5017,0.6813,0.6908
20,0.7994,0.2629,0.8579,0.7283,0.8316
21,0.4445,0.2951,0.4232,0.6708,0.1867
22,0.4623,0.4523,0.5966,0.6516,0.5201
23,0.6584,0.5674,0.5420,0.7312,0.5995
24,0.2056,0.3628,0.6078,0.6068,0.1497
25,0.3948,0.5158,0.5119,0.4282,0.4488
26,0.4191,0.5143,0.4526,0.4426,0.5008
27,0.3423,0.4506,0.2430,0.4000,0.3009
28,0.5358,0.4372,0.3605,0.6963,0.3564
29,0.3752,0.4480,0.6013,0.4229,0.1329
30,0.3049,0.2902,0.4348,0.3561,0.2297
31,1.0659,0.3010,0.5760,0.4330,0.4779
32,0.8485,0.2296,0.5497,0.1992,0.1727
33,0.3133,0.0915,0.1996,0.5584,0.4499
34,0.4054,0.4432,0.5481,0.7310,0.5451
35,0.4002,0.4702,0.8612,0.4244,0.6065
36,0.4819,0.7085,0.4353,0.7996,0.0486
37,0.7056,0.2723,0.5355,0.6010,0.2920
38,0.3530,0.3951,0.4426,0.4419,0.2791
39,0.4357,0.1948,0.2835,0.4650,0.2970
40,0.7790,0.5217,0.3432,0.5868,0.4333
41,0.5534,0.6632,1.1893,0.7859,0.2380
42,0.5769,0.2599,0.2771,0.5626,0.3020
43,0.5139,0.5366,0.7766,0.5918,0.3946
44,0.5588,0.3084,0.6992,0.5709,0.2564
45,0.5648,0.2069,0.2077,0.4441,0.1641
46,0.1881,0.2028,0.3456,0.3661,0.1539
47,0.2431,0.1833,0.3625,0.4960,0.1932
48,0.1471,0.3120,0.2576,0.3608,0.1245
49,0.5620,0.2189,0.7184,0.4624,0.3482
50,0.0604,0.2550,0.1546,0.2493,0.0793
51,0.2763,0.0313,0.0610,0.1107,0.0598
52,0.3849,0.1444,0.6482,0.2988,0.2199
53,0.7626,0.2591,0.5876,0.3567,0.3246
54,0.4204,0.3996,0.2241,0.4243,0.3242
55,0.3822,0.0834,0.1256,0.4162,0.3054
56,0.2668,0.2069,0.3628,0.2640,0.1822
57,0.5909,0.4431,0.5117,0.6071,0.6315
58,0.4906,0.4077,0.6193,0.3974,0.1983
59,0.4947,0.1516,0.5350,0.2495,0.1504
60,0.2370,0.3685,0.2240,0.4362,0.2469
61,0.4071,0.3322,0.2332,0.6465,0.1963
62,0.3534,0.1217,0.3428,0.3062,0.3719
63,0.2841,0.2024,0.5923,0.1988,0.1371
64,0.3864,0.4733,0.4899,0.3877,0.1304
65,0.2511,0.2979,0.2109,0.3595,0.1744
66,0.2570,0.2419,0.4418,0.3548,0.2356
67,0.3512,0.3187,0.3780,0.2996,0.1109
68,0.2284,0.6610,0.4333,0.2978,0.3666
69,0.5219,0.1009,0.2336,0.2194,0.0991
70,0.3163,0.7452,0.5377,0.4627,0.5267
71,0.3177,0.3378,0.2557,0.2698,0.0798
72,0.2445,0.0875,0.1840,0.1342,0.0716
73,0.3256,0.0645,0.1764,0.1801,0.1292
74,0.2869,0.2478,0.1038,0.2511,0.0914
75,0.5831,0.2247,0.6192,0.2137,0.1816
76,0.4447,0.1073,0.2552,0.2793,0.1760
77,0.2383,0.1754,0.3493,0.2471,0.2059
78,0.7605,0.3342,0.5571,0.2756,0.1825
79,0.2028,0.2341,0.2649,0.1604,0.1925
80,0.3534,0.1781,0.4708,0.2126,0.0757
81,0.3736,0.1900,0.1814,0.1732,0.1305
82,0.7496,0.1240,0.4187,0.5544,0.0911
83,0.2131,0.1389,0.5194,0.5442,0.1438
84,0.3614,0.0569,0.1333,0.2899,0.1127
85,0.7507,0.6810,0.3961,0.1639,0.1165
86,0.3738,0.3087,0.3769,0.1691,0.1120
87,0.3612,0.0628,0.1326,0.1818,0.0851
88,0.5681,0.1262,0.2755,0.2419,0.1593
89,0.2848,0.0847,0.1754,0.1518,0.0680
90,0.3004,0.1381,0.3595,0.3991,0.0915
91,0.2008,0.1560,0.2231,0.1706,0.0685
92,0.4940,0.2949,0.3989,0.0814,0.1183
93,0.4574,0.3899,0.6094,0.2913,0.1682
94,0.5732,0.1105,0.4151,0.2899,0.1056
95,0.6671,0.2576,0.2300,0.2818,0.2250
96,0.3562,0.1249,0.3397,0.0942,0.1040
97,0.1780,0.1562,0.2356,0.3134,0.2997
98,0.3227,0.1319,0.1374,0.2264,0.0878
99,0.4391,0.1769,0.1124,0.2318,0.2077
100,0.2265,0.0610,0.0789,0.1299,0.0864
101,0.4529,0.5055,0.1692,0.1839,0.2563
102,0.1502,0.1240,0.1489,0.2131,0.1820
103,0.3285,0.2408,0.5780,0.2144,0.2286
104,0.4329,0.2550,0.5591,0.2002,0.0759
105,0.6935,0.1313,0.3673,0.1947,0.1198
106,0.3438,0.2096,0.2131,0.5359,0.1762
107,0.4522,0.1860,0.2427,0.2872,0.2204
108,0.3256,0.2415,0.2073,0.1460,0.1134
109,0.1481,0.2122,0.2051,0.1034,0.1469
110,0.2653,0.4334,0.2323,0.3632,0.1023
111,0.3302,0.2070,0.3119,0.1119,0.0710
112,0.2419,0.0776,0.2436,0.0895,0.1623
113,0.0823,0.0750,0.0728,0.0472,0.0562
114,0.4783,0.2773,0.4600,0.2523,0.1425
115,0.3585,0.0907,0.0552,0.1652,0.0877
116,0.1073,0.0485,0.0949,0.1751,0.1260
117,0.2546,0.1680,0.2056,0.0839,0.1171
118,0.2815,0.0563,0.2247,0.2259,0.1174
119,0.2388,0.1048,0.5062,0.1752,0.1833
120,0.3422,0.0644,0.1285,0.1883,0.0502
